Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Molecular Sequence Numbers,Chemicals/CAS,Tradenames,Manufacturers,Funding Details,Funding Text 1,Funding Text 2,Funding Text 3,Funding Text 4,Funding Text 5,Funding Text 6,Funding Text 7,Funding Text 8,Funding Text 9,Funding Text 10,References,Correspondence Address,Editors,Sponsors,Publisher,Conference name,Conference date,Conference location,Conference code,ISSN,ISBN,CODEN,PubMed ID,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Scanlon S.T.","57207946389;","VDACs are MOM's ruin",2019,"Science","366","6472",,"1469B","",,,"10.1126/science.366.6472.1467-m","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084411511&doi=10.1126%2fscience.366.6472.1467-m&partnerID=40&md5=6f976a759cae90333effddc244ce3a2a",,"Scanlon, S.T.",[No abstract available],,"interferon; mitochondrial DNA; protein Bak; protein Bax; voltage dependent anion channel; apoptosis; cytosol; DNA damage; lupus like syndrome; mitochondrial membrane; nonhuman; Note; oligomerization; oxidative stress; priority journal; signal transduction",,"protein Bak, 166801-28-1",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084411511
"Stajic J.","57189019027;","Following vortices around",2019,"Science","366","6472",,"1468","",,,"10.1126/science.366.6472.1467-g","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084405999&doi=10.1126%2fscience.366.6472.1467-g&partnerID=40&md5=dcafbf97b3f7181e6bdfb9c52e8c9a06",,"Stajic, J.",[No abstract available],,"helium; laser light; light related phenomena; Note; priority journal; thin film (procedure); vortex motion",,"helium, 7440-59-7",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084405999
"Sugden A.M.","6701749750;","Trees stumped",2019,"Science","366","6472",,"1469","",,,"10.1126/science.366.6472.1468-a","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084403906&doi=10.1126%2fscience.366.6472.1468-a&partnerID=40&md5=70a0a1b6b8d564c9b1a94f3ef674b47e",,"Sugden, A.M.",[No abstract available],,"conifer needle; environmental change; environmental temperature; germination; nonhuman; North America; Note; priority journal; seedling; species composition; taiga; temperate deciduous forest; tree; wood",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084403906
"Rai T.S.","57212483461;","The diverse way that languages convey emotion",2019,"Science","366","6472",,"1467","",,,"10.1126/science.366.6472.1467-d","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084391460&doi=10.1126%2fscience.366.6472.1467-d&partnerID=40&md5=1d9b3d984f1cae1e47686311122f3e84",,"Rai, T.S.",[No abstract available],,"cultural diversity; cultural factor; emotion; emotion assessment; geographic and geological phenomena; language; language ability; Note; prediction; priority journal",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084391460
"Alderton G.","57207948291;","Immune surveillance of the brain",2019,"Science","366","6472",,"1469C","",,,"10.1126/science.366.6472.1467-r","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084390378&doi=10.1126%2fscience.366.6472.1467-r&partnerID=40&md5=ee64782e4aa3c7c65236d56a2b02ff28",,"Alderton, G.",[No abstract available],,"blood brain barrier; brain; brain blood vessel; human; immunosurveillance; nerve degeneration; Note; priority journal; protein aggregation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084390378
"Hines P.J.","7007106302;","Hyperexcitable neurons in brain organoids",2019,"Science","366","6472",,"1467","",,,"10.1126/science.366.6472.1467-b","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084387253&doi=10.1126%2fscience.366.6472.1467-b&partnerID=40&md5=b6fcfedf7cf320909ad1a7ba371a193f",,"Hines, P.J.",[No abstract available],,"potassium channel; ubiquitin; ubiquitin protein ligase; cell synchronization; cerebral organoid; disease model; happy puppet syndrome; human; in vitro study; intellectual impairment; medical technology; nerve cell differentiation; nerve cell excitability; nerve cell network; nonhuman; Note; priority journal; protein degradation; protein function; seizure",,"ubiquitin, 60267-61-0; ubiquitin protein ligase, 134549-57-8",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084387253
"Scanlon S.T.","57207946389;","A different way for γδ T cells to bind",2019,"Science","366","6472",,"1468","",,,"10.1126/science.366.6472.1467-f","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084383945&doi=10.1126%2fscience.366.6472.1467-f&partnerID=40&md5=5f50a5f10d0b90ca9d6bab47e79eeb69",,"Scanlon, S.T.",[No abstract available],,"T lymphocyte antigen; T lymphocyte receptor; antigen recognition; complex formation; crystal structure; gamma delta T lymphocyte; major histocompatibility complex; Note; phenotype; priority journal; T lymphocyte subpopulation",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084383945
"Szuromi P.","57196471264;","Optimizing surface passivation",2019,"Science","366","6472",,"1467","",,,"10.1126/science.366.6472.1467-e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084378890&doi=10.1126%2fscience.366.6472.1467-e&partnerID=40&md5=b0bc3b5de82c172b557f0f752673115b",,"Szuromi, P.",[No abstract available],,"caffeine; carbonyl derivative; iodide; theophylline; chemical interaction; hybrid; hydrogen bond; Note; optimizing surface passivation; physical phenomena; priority journal; process optimization; surface area",,"caffeine, 58-08-2; iodide, 20461-54-5; theophylline, 58-55-9, 5967-84-0, 8055-07-0, 8061-56-1, 99007-19-9",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","",Scopus,2-s2.0-85084378890
"Rai T.S.","57212483461;","Repeated fake headlines feel more moral",2019,"Science","366","6472",,"1468","",,,"10.1126/science.366.6472.1468-c","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084376631&doi=10.1126%2fscience.366.6472.1468-c&partnerID=40&md5=c4b247d15bd15b9357c218291dfc2105",,"Rai, T.S.",[No abstract available],,"disinformation; exposure; human; information processing; morality; Note; priority journal; social acceptance; social psychology",,,,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084376631
"Bryan Ray L.","36129260000;","Inside the matrix",2019,"Science","366","6472",,"1469","",,,"10.1126/science.366.6472.1468-e","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084376096&doi=10.1126%2fscience.366.6472.1468-e&partnerID=40&md5=dc3d699b26282723c0ebcc9dba303915",,"Bryan Ray, L.",[No abstract available],,"glycosaminoglycan; Hermes antigen; hyaluronic acid; hyaluronidase; membrane protein; mitogen activated protein kinase; transmembrane protein 2; unclassified drug; aging; cancer prevention; carbohydrate synthesis; cell survival; endoplasmic reticulum stress; extracellular matrix; fibroblast; gene identification; glycosaminoglycan metabolism; human; longevity; nonhuman; Note; priority journal; protein function; protein misfolding; signal transduction; unfolded protein response",,"hyaluronic acid, 31799-91-4, 9004-61-9, 9067-32-7; hyaluronidase, 9001-54-1, 9055-18-9, 488712-31-8; mitogen activated protein kinase, 142243-02-5",,,,,,,,,,,,,,,,,,"American Association for the Advancement of Science",,,,,00368075,,SCIEA,,"English","Sci.",Note,"Final","All Open Access, Bronze",Scopus,2-s2.0-85084376096
